X,Gravity_Response
0.0,0.00035352543452395923
0.5,0.0001913533137022138
1.0,0.0007171401424094961
1.5,0.0005905736460177756
2.0,0.0011351272558332343
2.5,0.001123721726143577
3.0,0.0006294628835658141
3.5,0.00032199004240896216
4.0,0.001291749083403524
4.5,0.0008042007455374308
5.0,0.0009560001934238332
5.5,0.0004834973911396521
6.0,0.0001434056440001247
6.5,0.0016914674604825797
7.0,0.0018370357820365639
7.5,0.0009503442734351897
8.0,0.0013920050568659512
8.5,0.0016176036454519929
9.0,0.0012495525216130179
9.5,0.0017015357666906954
10.0,0.001513774395162651
10.5,0.0018571068580940564
11.0,0.0014537635660693132
11.5,0.003132939920722094
12.0,0.001626043575681373
12.5,0.002659065427834399
13.0,0.0010803036082635484
13.5,0.0031046655567341023
14.0,0.0032001272290370195
14.5,0.004634372879983202
15.0,0.004985084970201176
15.5,0.005227501427044343
16.0,0.005722860564597505
16.5,0.007132471331189794
17.0,0.007423034282610051
17.5,0.008550483160634932
18.0,0.009101733781607124
18.5,0.010323979930574868
19.0,0.01227905833523582
19.5,0.01406798606043639
20.0,0.01525630717173171
20.5,0.017284893906464364
21.0,0.018461069979110876
21.5,0.02114835512428138
22.0,0.020404645953225494
22.5,0.02323298533881511
23.0,0.02465113953895594
23.5,0.024682086283684446
24.0,0.026214643442178397
24.5,0.025673689478454276
25.0,0.027626663562090953
25.5,0.027114782462775888
26.0,0.027929213594025344
26.5,0.028026562333139347
27.0,0.02730412756752381
27.5,0.02745520780178158
28.0,0.026453326728115154
28.5,0.026287849165991882
29.0,0.026517736635076075
29.5,0.024388969540964065
30.0,0.022522508306512767
30.5,0.018172471796199678
31.0,0.015053435788879825
31.5,0.012541152731358007
32.0,0.010575902870106768
32.5,0.008720435737782752
33.0,0.007483003808964583
33.5,0.006527579105502356
34.0,0.005196982780703373
34.5,0.004476594999669637
35.0,0.004583002557027413
35.5,0.004009352823010599
36.0,0.003410335724892084
36.5,0.0033778070910801994
37.0,0.0034819498922118094
37.5,0.0033583067561758113
38.0,0.002374556932879681
38.5,0.002227169940971865
39.0,0.003065760546626257
39.5,0.0027869093243882478
40.0,0.0018807344136241267
40.5,0.0010819979329431528
41.0,0.0014224252136179245
41.5,0.0019303775588105452
42.0,0.00182533661041804
42.5,0.000918254308017064
43.0,0.0010093117995219104
43.5,0.0008870160428729746
44.0,0.001412687585043895
44.5,0.0012731769596088225
45.0,0.0008576023909109232
45.5,0.0013219731140068699
46.0,0.0006394693290928668
46.5,0.0011004190054388293
47.0,0.0013321240135220798
47.5,0.0012552461744873146
48.0,0.000715164200836383
48.5,0.00022261666650600162
49.0,-0.0001715642232809042
49.5,0.000909765513974085
50.0,0.0009549063251484552
